imagePath,assetName,id,key,itemName,description,material1Key,material2Key,showInRecipeCraft
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_balloon_clock.png,BalloonClock,2101,balloon_clock,風船と懐中時計,,balloon,clock,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_balloon_fluorescent-light.png,BalloonFluorescentLight,2102,balloon_fluorescent_light,風船と蛍光灯,,balloon,fluorescent_light,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_balloon_full-body-tights.png,BalloonFullBodyTights,2103,balloon_full_body_tights,風船と全身タイツ,,balloon,full_body_tights,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_balloon_glasses.png,BalloonGlasses,2104,balloon_glasses,風船とメガネ,,balloon,glasses,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_balloon_hat.png,BalloonHat,2105,balloon_hat,風船と帽子,,balloon,hat,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_balloon_magnet.png,BalloonMagnet,2106,balloon_magnet,風船と磁石,,balloon,magnet,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_balloon_microphone.png,BalloonMicrophone,2107,balloon_microphone,風船とマイク,,balloon,microphone,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_balloon_note.png,BalloonNote,2108,balloon_note,風船とノート,,balloon,note,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_balloon_umbrella.png,BalloonUmbrella,2109,balloon_umbrella,風船と傘,,balloon,umbrella,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_clock_fluorescent-light.png,ClockFluorescentLight,2110,clock_fluorescent_light,懐中時計と蛍光灯,,clock,fluorescent_light,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_clock_full-body-tights.png,ClockFullBodyTights,2111,clock_full_body_tights,懐中時計と全身タイツ,,clock,full_body_tights,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_clock_glasses.png,ClockGlasses,2112,clock_glasses,懐中時計とメガネ,,clock,glasses,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_clock_hat.png,ClockHat,2113,clock_hat,懐中時計と帽子,,clock,hat,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_clock_magnet.png,ClockMagnet,2114,clock_magnet,懐中時計と磁石,,clock,magnet,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_clock_microphone.png,ClockMicrophone,2115,clock_microphone,懐中時計とマイク,,clock,microphone,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_clock_note.png,ClockNote,2116,clock_note,懐中時計とノート,,clock,note,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_clock_umbrella.png,ClockUmbrella,2117,clock_umbrella,懐中時計と傘,,clock,umbrella,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_fluorescent-light_full-body-tights.png,FluorescentLightFullBodyTights,2118,fluorescent_light_full_body_tights,蛍光灯と全身タイツ,,fluorescent_light,full_body_tights,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_fluorescent-light_glasses.png,FluorescentLightGlasses,2119,fluorescent_light_glasses,蛍光灯とメガネ,,fluorescent_light,glasses,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_fluorescent-light_hat.png,FluorescentLightHat,2120,fluorescent_light_hat,蛍光灯と帽子,,fluorescent_light,hat,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_fluorescent-light_magnet.png,FluorescentLightMagnet,2121,fluorescent_light_magnet,蛍光灯と磁石,,fluorescent_light,magnet,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_fluorescent-light_microphone.png,FluorescentLightMicrophone,2122,fluorescent_light_microphone,蛍光灯とマイク,,fluorescent_light,microphone,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_fluorescent-light_note.png,FluorescentLightNote,2123,fluorescent_light_note,蛍光灯とノート,,fluorescent_light,note,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_fluorescent-light_umbrella.png,FluorescentLightUmbrella,2124,fluorescent_light_umbrella,蛍光灯と傘,,fluorescent_light,umbrella,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_full-body-tights_glasses.png,FullBodyTightsGlasses,2125,full_body_tights_glasses,全身タイツとメガネ,,full_body_tights,glasses,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_full-body-tights_hat.png,FullBodyTightsHat,2126,full_body_tights_hat,全身タイツと帽子,,full_body_tights,hat,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_full-body-tights_magnet.png,FullBodyTightsMagnet,2127,full_body_tights_magnet,全身タイツと磁石,,full_body_tights,magnet,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_full-body-tights_microphone.png,FullBodyTightsMicrophone,2128,full_body_tights_microphone,全身タイツとマイク,,full_body_tights,microphone,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_full-body-tights_note.png,FullBodyTightsNote,2129,full_body_tights_note,全身タイツとノート,,full_body_tights,note,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_full-body-tights_umbrella.png,FullBodyTightsUmbrella,2130,full_body_tights_umbrella,全身タイツと傘,,full_body_tights,umbrella,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_glasses_hat.png,GlassesHat,2131,glasses_hat,メガネと帽子,,glasses,hat,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_glasses_magnet.png,GlassesMagnet,2132,glasses_magnet,メガネと磁石,,glasses,magnet,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_glasses_microphone.png,GlassesMicrophone,2133,glasses_microphone,メガネとマイク,,glasses,microphone,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_glasses_note.png,GlassesNote,2134,glasses_note,メガネとノート,,glasses,note,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_glasses_umbrella.png,GlassesUmbrella,2135,glasses_umbrella,メガネと傘,,glasses,umbrella,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_hat_magnet.png,HatMagnet,2136,hat_magnet,帽子と磁石,,hat,magnet,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_hat_microphone.png,HatMicrophone,2137,hat_microphone,帽子とマイク,,hat,microphone,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_hat_note.png,HatNote,2138,hat_note,帽子とノート,,hat,note,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_hat_umbrella.png,HatUmbrella,2139,hat_umbrella,帽子と傘,,hat,umbrella,false
Assets/_Project/Art/UI/Items/Equipment/PostCraft/item_equipment_magnet_microphone.png,MagnetMicrophone,2140,magnet_microphone,磁石とマイク,,magnet,microphone,false
